YEAR,data_sensitivity
0,1
1,300
1,20
1,300
1,20
2,1
2,1
2,300
2,20
2,1
2,20
3,20
3,300
3,1
3,300
3,20
3,300
3,300
3,1
3,20
3,20
3,20
3,20
3,1
4,20
4,20
4,20
4,1
4,1
4,300
4,20
4,20
4,20
4,20
4,1
4,20
4,50000
4,300
4,4000
4,1
5,300
5,20
5,300
5,1
5,4000
5,1
5,300
5,20
5,20
5,4000
5,20
5,20
5,4000
5,20
6,20
6,1
6,4000
6,20
6,300
6,4000
6,20
6,20
6,300
6,50000
6,50000
6,20
6,20
6,4000
6,4000
6,4000
6,50000
6,4000
6,300
6,20
7,1
7,20
7,1
7,20
7,300
7,1
7,1
7,300
7,1
7,50000
7,20
7,20
7,300
7,300
7,1
7,20
7,20
7,20
7,1
7,1
7,20
7,300
7,1
7,300
7,1
7,20
7,300
7,20
7,4000
7,4000
7,4000
7,300
7,20
7,4000
7,4000
7,20
8,20
8,20
8,1
8,1
8,1
8,1
8,20
8,300
8,50000
8,1
8,1
8,20
8,20
8,20
8,20
8,1
8,1
8,50000
8,1
8,3
8,4000
8,20
8,20
8,4000
8,20
8,4000
9,20
9,20
9,20
9,1
9,300
9,20
9,20
9,20
9,1
9,20
9,1
9,1
9,300
9,20
9,20
9,1
9,50000
9,1
9,1
9,20
9,20
9,1
9,1
9,50000
9,300
9,300
9,4000
9,20
9,20
9,20
9,20
10,1
10,1
10,20
10,1
10,300
10,20
10,300
10,1
10,300
10,20
10,1
10,20
10,1
10,1
10,300
10,300
10,300
10,1
10,20
10,50000
10,50000
10,1
10,20
10,4000
10,1
11,50000
11,50000
11,1
11,20
11,20
11,1
11,50000
11,1
11,1
11,50000
11,1
11,20
11,50000
11,50000
11,1
11,300
11,50000
11,1
11,50000
11,1
11,20
11,20
11,4000
12,20
12,1
12,1
12,50000
12,20
12,4000
12,20
12,50000
12,20
12,4000
12,300
12,1
12,1
12,1
12,300
12,50000
12,300
12,1
13,4000
13,20
13,4000
13,20
13,50000
13,1
13,4000
13,4000
13,1
13,1
13,20
13,20
13,50000
13,1
13,20
13,4000
13,4000
13,4000
13,1
13,1
13,1
13,20
14,300
14,300
14,1
14,50000
14,4000
14,4000
14,300
14,50000
14,4000
14,4000
14,4000
14,4000
14,4000
14,4000
14,4000
14,4000
14,300
14,4000
14,300
14,20
14,1